ticker,weight_pct
NVDA,22.1
TSM,9.75
AVGO,5.84
AMD,5.79
MU,5.55
ASML,4.97
ADI,4.4
INTC,4.39
TXN,4.35
MRVL,4.27
QCOM,4.26
LRCX,4.23
AMAT,4.19
KLAC,3.86
CDNS,1.91
SNPS,1.85
TER,1.36
MPWR,1.26
NXPI,1.11
ARM,1.0
STM,1.0
ALAB,0.89
MCHP,0.85
ON,0.54
SWKS,0.24
