ticker,weight_pct
MU,7.08
AMD,5.08
SMTC,4.12
MRVL,3.81
TSM,3.65
VRT,3.27
INTC,3.16
SIMO,3.14
GEV,2.61
STX,2.51
GLW,2.21
NVDA,2.04
TSEM,2.0
ASML,1.94
ANET,1.89
SNDK,1.85
ALAB,1.69
VICR,1.63
ARM,1.61
