ticker,weight_pct
NVDA,8.43
AAPL,7.79
MSFT,5.87
MU,4.85
AMZN,4.41
AMD,3.71
GOOGL,3.15
META,3.06
GOOG,2.92
TSLA,2.91
AVGO,2.74
WMT,2.3
INTC,2.28
CSCO,1.95
COST,1.77
PLTR,1.69
LRCX,1.64
AMAT,1.6
NFLX,1.44
SPCX,1.28
PANW,1.19
TXN,1.08
SNDK,1.07
KLAC,1.04
LIN,0.95
